id,MaxEval,MinEval,FinalEval,W<=10,W<=25,W<=50,W<=100,W<=200,W<=500,W>500,B<=10,B<=25,B<=50,B<=100,B<=200,B<=500,B>500,Wprojection,Bprojection,DifProjection
1548582,113,-99999,-99999,6,8,1,1,4,2,1,14,8,1,1,0,1,0,1346,-14180,-12834
1549077,69,-15,0,9,6,0,1,0,0,0,15,4,2,0,0,0,0,1067,-26,1041
1549510,99998,-527,99998,11,2,8,3,5,4,0,10,6,5,7,4,5,2,17590,-2566,15024
1550167,99,-1212,-1212,16,10,7,5,4,2,0,22,17,3,7,0,0,0,966,-13506,-12540
1550931,712,-2,547,9,15,6,2,2,1,0,14,12,10,3,2,1,0,18691,-2,18689
1551613,76,-1312,-1312,7,10,7,5,4,1,0,21,10,4,4,1,0,0,818,-42459,-41641
1552273,71,-250,4,9,2,4,1,3,0,0,9,5,2,3,2,0,0,1269,-1015,254
1552722,1247,12,1217,26,14,4,4,3,1,0,30,13,11,4,4,3,0,34751,0,34751
1553674,183,-99994,-99994,4,6,3,3,3,0,2,7,6,3,4,2,0,0,2251,-9677,-7426
1554134,81,-99998,-1440,12,11,7,4,3,5,2,26,10,5,2,7,2,1,1311,-45164,-43853
1554943,94,-993,-993,10,17,3,2,1,1,0,24,13,3,1,0,0,0,2131,-13596,-11465
1555621,99996,16,99996,16,11,8,5,1,3,0,22,4,12,10,4,2,1,32270,0,32270
1556449,450,-1061,-1059,12,10,8,5,3,6,1,18,6,7,8,4,4,0,8593,-18289,-9696
1557202,112,-3,0,15,7,5,0,0,0,0,21,6,2,2,0,0,0,2620,-6,2614
1557760,70,-1254,8,37,6,11,8,2,5,1,47,8,10,1,3,3,2,1322,-27210,-25888
1558826,99,-245,-149,19,9,4,3,3,1,0,25,10,6,4,1,1,0,1471,-6966,-5495
1559587,119,0,21,14,9,6,1,0,0,0,20,7,3,2,1,0,0,3020,0,3020
1560190,1023,-68,982,12,4,6,7,1,1,0,17,8,5,4,5,2,0,13697,-308,13389
1560876,967,-69,967,15,6,8,4,3,0,0,20,11,8,9,2,1,0,24575,-69,24506
1561656,1303,-8,1303,16,14,7,6,1,0,0,22,12,10,10,5,0,0,35681,-8,35673
1562528,103,-62,0,12,8,2,2,0,0,0,23,4,2,1,1,0,0,1916,-77,1839
1563081,73,-78,0,10,8,3,0,1,0,0,14,8,0,1,1,0,0,938,-523,415
1563583,589,-4,540,17,7,4,4,1,0,0,14,7,7,5,4,0,0,19418,-4,19414
